,angle_of_attack,chord_length,,suction_side_displacement_thickness,,
-0.662022703,0,0.3048,1.312935258,0.00266337,0.197938763,
-0.598561347,0,0.3048,1.312935258,0.00266337,0.052934759,
-0.519234652,0,0.3048,1.312935258,0.00266337,0.161687762,
-0.408177279,0,0.3048,1.312935258,0.00266337,0.399494329,
-0.281254566,0,0.3048,1.312935258,0.00266337,0.380643808,
-0.122601176,0,0.3048,1.312935258,0.00266337,0.10658624,
0.083648232,0,0.3048,1.312935258,0.00266337,0.052934759,
0.353358996,0,0.3048,1.312935258,0.00266337,-0.257373811,
0.670665777,0,0.3048,1.312935258,0.00266337,-0.512580858,
1.083164592,0,0.3048,1.312935258,0.00266337,-0.767787906,
1.62258612,0,0.3048,1.312935258,0.00266337,-1.114347476,
2.257199682,0,0.3048,1.312935258,0.00266337,-1.369554523,
3.050466635,0,0.3048,1.312935258,0.00266337,-1.826317137,
4.161040369,0,0.3048,1.312935258,0.00266337,-2.336731232,
-0.757214738,0,0.3048,0.298007011,0.00283081,0.229114624,
-0.715964856,0,0.3048,0.298007011,0.00283081,0.414719749,
-0.662022703,0,0.3048,0.298007011,0.00283081,0.471271311,
-0.598561347,0,0.3048,0.298007011,0.00283081,0.308866826,
-0.519234652,0,0.3048,0.298007011,0.00283081,0.181263302,
-0.408177279,0,0.3048,0.298007011,0.00283081,0.311766906,
-0.281254566,0,0.3048,0.298007011,0.00283081,0.258115425,
-0.122601176,0,0.3048,0.298007011,0.00283081,-0.105844626,
0.083648232,0,0.3048,0.298007011,0.00283081,-0.23199811,
0.353358996,0,0.3048,0.298007011,0.00283081,-0.540856639,
0.670665777,0,0.3048,0.298007011,0.00283081,-0.758362645,
1.083164592,0,0.3048,0.298007011,0.00283081,-0.994719172,
1.62258612,0,0.3048,0.298007011,0.00283081,-1.212225179,
2.257199682,0,0.3048,0.298007011,0.00283081,-1.705238793,
3.050466635,0,0.3048,0.298007011,0.00283081,-1.995246802,
-0.852406772,0,0.3048,-0.723344834,0.00310138,-0.97253356,
-0.836541433,0,0.3048,-0.723344834,0.00310138,-0.799978794,
-0.815916492,0,0.3048,-0.723344834,0.00310138,-0.29826494,
-0.788945416,0,0.3048,-0.723344834,0.00310138,-0.003906811,
-0.757214738,0,0.3048,-0.723344834,0.00310138,0.307851798,
-0.715964856,0,0.3048,-0.723344834,0.00310138,0.550008485,
-0.662022703,0,0.3048,-0.723344834,0.00310138,0.618160367,
-0.598561347,0,0.3048,-0.723344834,0.00310138,0.444155562,
-0.519234652,0,0.3048,-0.723344834,0.00310138,0.096145952,
-0.408177279,0,0.3048,-0.723344834,0.00310138,-0.114109854,
-0.281254566,0,0.3048,-0.723344834,0.00310138,-0.166311296,
-0.122601176,0,0.3048,-0.723344834,0.00310138,-0.498370466,
0.083648232,0,0.3048,-0.723344834,0.00310138,-0.65497479,
0.353358996,0,0.3048,-0.723344834,0.00310138,-0.813029155,
0.670665777,0,0.3048,-0.723344834,0.00310138,-1.021834921,
1.083164592,0,0.3048,-0.723344834,0.00310138,-1.248041168,
1.62258612,0,0.3048,-0.723344834,0.00310138,-1.458296974,
2.257199682,0,0.3048,-0.723344834,0.00310138,-1.841107545,
3.050466635,0,0.3048,-0.723344834,0.00310138,-2.206517636,
-0.852406772,0,0.3048,-1.230808957,0.00331266,-1.1079673,
-0.836541433,0,0.3048,-1.230808957,0.00331266,-0.904961694,
-0.815916492,0,0.3048,-1.230808957,0.00331266,-0.300294996,
-0.788945416,0,0.3048,-1.230808957,0.00331266,0.030314134,
-0.757214738,0,0.3048,-1.230808957,0.00331266,0.359473224,
-0.715964856,0,0.3048,-1.230808957,0.00331266,0.617580351,
-0.662022703,0,0.3048,-1.230808957,0.00331266,0.637880912,
-0.598561347,0,0.3048,-1.230808957,0.00331266,0.366723424,
-0.519234652,0,0.3048,-1.230808957,0.00331266,-0.069738629,
-0.408177279,0,0.3048,-1.230808957,0.00331266,-0.358296598,
-0.281254566,0,0.3048,-1.230808957,0.00331266,-0.356846557,
-0.122601176,0,0.3048,-1.230808957,0.00331266,-0.591753044,
0.083648232,0,0.3048,-1.230808957,0.00331266,-0.826659531,
0.353358996,0,0.3048,-1.230808957,0.00331266,-0.970213495,
0.670665777,0,0.3048,-1.230808957,0.00331266,-1.332723506,
1.083164592,0,0.3048,-1.230808957,0.00331266,-1.603880994,
1.62258612,0,0.3048,-1.230808957,0.00331266,-2.076594048,
2.257199682,0,0.3048,-1.230808957,0.00331266,-2.402853057,
-0.662022703,1.5,0.3048,1.312935258,0.00336729,0.331487451,
-0.598561347,1.5,0.3048,1.312935258,0.00336729,0.167632926,
-0.519234652,1.5,0.3048,1.312935258,0.00336729,0.150232445,
-0.408177279,1.5,0.3048,1.312935258,0.00336729,0.260435489,
-0.281254566,1.5,0.3048,1.312935258,0.00336729,0.261885529,
-0.122601176,1.5,0.3048,1.312935258,0.00336729,-0.046973,
0.083648232,1.5,0.3048,1.312935258,0.00336729,-0.209377485,
0.353358996,1.5,0.3048,1.312935258,0.00336729,-0.445734012,
0.670665777,1.5,0.3048,1.312935258,0.00336729,-0.754592541,
1.083164592,1.5,0.3048,1.312935258,0.00336729,-0.973548588,
